Sample code,Fieldtrip code,Date,Project name,Location,Management,WPt name,Drop Waypoint,Y,X,L-Cam,R-Cam,L-Card,R-Card,Time in,Deployment time,Video method,Bait,Lights,Other treatment,Depth,Temp,Water column,Visibility,Relief,Footage Success,Cal to use,Video Notes
17-06_PPMR_001,17-06_ISI,6/26/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS043,3,-26.733417,32.906217,7,20,12,67,13:41,60,stereo-BRUVs,Sardine,None,N/A,11.9,22.8,64.0,4.7,3.1,2,Pre,
17-06_PPMR_002,17-06_ISI,6/26/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS016,4,-26.735000,32.910883,2,3,10,33,14:03,60,stereo-BRUVs,Sardine,None,N/A,21.6,22.7,50.0,4.7,0.0,2,Pre,
17-06_PPMR_003,17-06_ISI,6/26/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS013,5,-26.738517,32.908867,18,19,73,118,14:20,60,stereo-BRUVs,Sardine,None,N/A,18.8,22.6,45.0,3.0,0.6,2,Pre,
17-06_PPMR_004,17-06_ISI,6/26/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS012,6,-26.742133,32.916483,16,17,66,9,14:38,60,stereo-BRUVs,Sardine,None,N/A,36.9,22.8,53.0,5.0,0.0,2,Post,
17-06_PPMR_005,17-06_ISI,6/26/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS042,9,-26.752650,32.903033,7,20,58,37,15:30,60,stereo-BRUVs,Sardine,None,N/A,9.4,22.8,42.0,5.7,0.0,2,Pre,
17-06_PPMR_006,17-06_ISI,6/26/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS040,8,-26.760933,32.903183,2,3,30,70,15:54,60,stereo-BRUVs,Sardine,None,N/A,14.7,22.7,0.0,2.0,4.3,2,Pre,
17-06_PPMR_007,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRD001,10,-26.842650,32.914833,2,3,24,15,7:35,60,stereo-BRUVs,Sardine,None,N/A,44.9,22.8,50.0,6.0,4.5,1,Pre,Battery fell off
17-06_PPMR_008B,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRD002,17,-26.830183,32.918917,7,20,73,25,9:37,60,stereo-BRUVs,Sardine,None,N/A,39.3,22.8,50.0,6.8,3.5,2,Pre,
17-06_PPMR_009B,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS031,15,-26.829683,32.896300,16,17,37,16,8:42,60,stereo-BRUVs,Sardine,None,N/A,16.5,22.8,26.0,6.0,2.0,2,Post,
17-06_PPMR_010,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS032,14,-26.822300,32.896467,18,19,8,106,8:28,60,stereo-BRUVs,Sardine,None,N/A,17.8,22.7,51.0,6.2,1.0,2,Pre,
17-06_PPMR_011,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS033,16,-26.813467,32.895433,2,3,2,75,9:14,60,stereo-BRUVs,Sardine,None,N/A,14,22.6,68.0,8.0,4.0,2,Pre,
17-06_PPMR_012,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS034,18,-26.811900,32.893967,18,19,118,110,9:57,60,stereo-BRUVs,Sardine,None,N/A,11,22.4,100.0,6.0,3.5,2,Pre,
17-06_PPMR_013,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS036,20,-26.782267,32.903600,16,17,66,33,10:46,60,stereo-BRUVs,Sardine,None,N/A,22.9,22.8,56.0,7.3,4.1,2,Post,
17-06_PPMR_014,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS035,19,-26.786233,32.900183,2,3,62,63,10:36,60,stereo-BRUVs,Sardine,None,N/A,13.6,22.9,14.0,7.0,3.0,1,Pre,Shutter didn’t open. Must check screen to see that camera is recording.
17-06_PPMR_015,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRD003,21,-26.802950,32.915867,7,20,8,20,11:28,60,stereo-BRUVs,Sardine,None,N/A,36.8,22.8,44.0,6.0,2.2,2,Pre,
17-06_PPMR_016,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS038,22,-26.778267,32.904250,18,19,26,32,12:01,60,stereo-BRUVs,Sardine,None,N/A,21.8,22.7,0.0,5.5,1.8,2,Pre,
17-06_PPMR_017,17-06_ISI,6/27/2017,Isimangaliso,PPMR Southern restricted zone,Restricted,MZRS039,23,-26.770717,32.898317,2,3,9,54,12:32,60,stereo-BRUVs,Sardine,None,N/A,12,22.7,8.0,6.0,3.7,2,Pre,
17-06_PPMR_018,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Sanctuary,MZSS055,24,-26.585583,32.914567,2,3,24,10,7:30,60,stereo-BRUVs,Sardine,None,N/A,20.4,22.9,42.0,4.5,1.9,2,Pre,
17-06_PPMR_019,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Sanctuary,MZSS054,25,-26.604433,32.914183,18,19,74,118,7:40,60,stereo-BRUVs,Sardine,None,N/A,18.7,22.7,45.0,5.0,3.1,2,Pre,
17-06_PPMR_020,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Sanctuary,MZSS053,26,-26.601550,32.914417,7,20,63,66,7:54,60,stereo-BRUVs,Sardine,None,N/A,25.7,22.0,30.0,7.0,0.7,2,Pre,
17-06_PPMR_021,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Sanctuary,MZSS052,27,-26.615350,32.906167,16,17,37,49,8:06,60,stereo-BRUVs,Sardine,None,N/A,14,22.5,19.0,4.5,4.1,2,Post,
17-06_PPMR_022,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Sanctuary,MZSS020,28,-26.639983,32.917317,18,19,101,26,9:04,60,stereo-BRUVs,Sardine,None,N/A,30.2,22.1,97.0,5.0,3.0,2,Pre,
17-06_PPMR_023,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Sanctuary,MZSS019,29,-26.641500,32.916450,2,3,34,9,9:10,60,stereo-BRUVs,Sardine,None,N/A,17.5,22.5,48.0,5.0,4.1,2,Pre,
17-06_PPMR_024,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Sanctuary,MZSS051,30,-26.637533,32.901667,16,17,41,25,9:45,60,stereo-BRUVs,Sardine,None,N/A,15.1,22.1,57.0,4.0,2.9,2,Post,
17-06_PPMR_025,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Sanctuary,MZSS050,31,-26.643167,32.906867,7,20,75,29,9:51,60,stereo-BRUVs,Sardine,None,N/A,15.3,22.9,48.0,5.0,3.3,2,Pre,
17-06_PPMR_026,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Restricted,MZRS49,32,-26.656400,32.908417,2,3,18,70,10:29,60,stereo-BRUVs,Sardine,None,N/A,17.3,22.7,42.0,5.0,0.0,2,Pre,
17-06_PPMR_027,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Restricted,MZRS18,33,-26.666683,32.914283,18,19,109,9,10:38,60,stereo-BRUVs,Sardine,None,N/A,25.5,22.4,21.0,5.0,0.0,2,Pre,
17-06_PPMR_028,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Restricted,MZRS48,34,-26.669517,32.908700,7,20,32,3,11:11,60,stereo-BRUVs,Sardine,None,N/A,11.2,22.9,35.0,6.0,4.7,2,Pre,
17-06_PPMR_029,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Restricted,MZRS47,35,-26.671483,32.910667,16,17,27,11,11:18,60,stereo-BRUVs,Sardine,None,N/A,16.5,22.6,52.0,4.0,0.0,2,Post,
17-06_PPMR_030,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Restricted,MZRS46,36,-26.673900,32.909100,18,19,110,81,12:01,60,stereo-BRUVs,Sardine,None,N/A,14.9,22.6,54.0,4.0,2.0,2,Pre,
17-06_PPMR_031,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Restricted,MZRS45,37,-26.676200,32.902883,2,3,64,33,12:10,60,stereo-BRUVs,Sardine,None,N/A,6.5,22.6,0.0,2.0,3.7,2,Pre,
17-06_PPMR_032,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Restricted,MZRS44,38,-26.705417,32.908100,16,17,42,17,12:54,60,stereo-BRUVs,Sardine,None,N/A,10.6,22.6,34.0,5.0,4.0,2,Post,
17-06_PPMR_033,17-06_ISI,6/30/2017,Isimangaliso,PPMR,Restricted,MZRS17,39,-26.713350,32.910850,7,20,6,67,13:04,60,stereo-BRUVs,Sardine,None,N/A,17.8,22.6,45.0,5.0,0.0,2,Pre,
17-06_PPMR_034,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,MZRS011,44,-26.749200,32.934783,7,20,62,60,7:36,60,stereo-BRUVs,Sardine,None,N/A,37.8,21.8,38.0,6.0,2.0,2,Pre,
17-06_PPMR_035,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,MZRS010,45,-26.749533,32.937200,16,17,68,19,7:48,60,stereo-BRUVs,Sardine,None,N/A,42.2,21.7,,,,2,Post,"Not processed, to deep for FinPrint"
17-06_PPMR_036,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,MZRS08,46,-26.756150,32.936483,2,3,1,56,8:01,60,stereo-BRUVs,Sardine,None,N/A,35.9,22.2,43.0,6.0,2.5,2,Pre,
17-06_PPMR_037,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,MZRS09,47,-26.754900,32.933800,18,19,8,74,8:19,60,stereo-BRUVs,Sardine,None,N/A,41.6,22.1,,,,2,Pre,"Not processed, to deep for FinPrint"
17-06_PPMR_038,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,MZRS07,48,-26.765083,32.928567,7,20,53,30,8:55,60,stereo-BRUVs,Sardine,None,N/A,38.6,21.7,45.0,5.0,2.8,2,Pre,
17-06_PPMR_039,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,MZRS06,49,-26.769217,32.926350,16,17,12,58,9:23,60,stereo-BRUVs,Sardine,None,N/A,38.9,21.3,34.0,4.5,2.3,2,Post,
17-06_PPMR_040,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,Spigs TopPin,50,-26.755150,32.920017,2,3,8,42,9:42,60,stereo-BRUVs,Sardine,None,N/A,33.8,21.8,54.0,8.0,4.2,2,Pre,
17-06_PPMR_041,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,MZRS05,51,-26.780733,32.921683,18,19,9,81,10:06,60,stereo-BRUVs,Sardine,None,N/A,34.7,21.6,95.0,8.0,3.5,2,Pre,
17-06_PPMR_042,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,MZRS04,52,-26.786533,32.920067,7,20,32,61,10:35,60,stereo-BRUVs,Sardine,None,N/A,35.7,21.9,47.0,6.0,3.1,2,Pre,
17-06_PPMR_043,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,MZRS41,55,-26.756233,32.901983,2,3,2,41,11:30,60,stereo-BRUVs,Sardine,None,N/A,8.5,22.6,48.0,4.0,0.0,2,Pre,
17-06_PPMR_044,17-06_ISI,7/1/2017,Isimangaliso,PPMR,Restricted,MZRS37,54,-26.781650,32.902717,16,17,5,73,11:42,60,stereo-BRUVs,Sardine,None,N/A,17.3,21.9,71.0,5.0,4.3,2,Post,
17-06_PPMR_045,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,MZRS30,58,-26.358267,32.972567,16,17,16,58,8:30,60,stereo-BRUVs,Sardine,None,N/A,13.4,22.8,66.0,4.5,3.0,2,Post,
17-06_PPMR_046,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,None,59,-26.354133,32.974200,2,3,65,10,8:41,60,stereo-BRUVs,Sardine,None,N/A,24,22.6,61.0,4.5,3.1,2,Pre,
17-06_PPMR_047,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,None,60,-26.361783,32.973083,7,20,38,28,8:57,60,stereo-BRUVs,Sardine,None,N/A,27.5,22.8,63.0,4.0,3.0,2,Pre,
17-06_PPMR_048,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,MZRS29,61,-26.366267,32.969917,18,19,15,12,9:07,60,stereo-BRUVs,Sardine,None,N/A,31.3,22.6,50.0,4.0,2.0,2,Pre,
17-06_PPMR_049,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,MZRS27,62,-26.401250,32.971167,2,3,76,43,10:08,60,stereo-BRUVs,Sardine,None,N/A,21.9,22.5,74.0,4.5,2.0,2,Pre,
17-06_PPMR_050,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,None,63,-26.397817,32.972200,16,17,61,34,10:19,60,stereo-BRUVs,Sardine,None,N/A,36,22.2,50.0,5.0,2.0,2,Post,
17-06_PPMR_051,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,MZRS26,64,-26.414350,32.930583,18,19,109,127,11:03,60,stereo-BRUVs,Sardine,None,N/A,13.1,22.4,57.0,5.0,3.9,2,Pre,
17-06_PPMR_052,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,MZRS25,65,-26.422817,32.928650,7,20,49,45,11:15,60,stereo-BRUVs,Sardine,None,N/A,18.1,22.5,62.0,4.5,3.6,2,Pre,
17-06_PPMR_053,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,None,66,-26.441883,32.939817,2,3,36,35,11:56,60,stereo-BRUVs,Sardine,None,N/A,16.9,22.5,56.0,5.0,3.0,2,Pre,
17-06_PPMR_054,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,None,67,-26.446983,32.934017,16,17,7,17,12:21,60,stereo-BRUVs,Sardine,None,N/A,8,22.8,30.0,4.0,3.7,2,Post,
17-06_PPMR_055,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,None,68,-26.428017,32.940617,7,20,29,12,12:52,60,stereo-BRUVs,Sardine,None,N/A,21.5,22.6,39.0,3.0,3.5,2,Pre,R-cam video only runs to 42mins bottom time
17-06_PPMR_056,17-06_ISI,7/2/2017,Isimangaliso,PPMR,Restricted,None,69,-26.432267,32.940250,18,19,83,110,13:00,60,stereo-BRUVs,Sardine,None,N/A,18,22.4,59.0,3.0,1.3,2,Pre,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
